FID,SHAPE,BEZEICHNUNG,WL_NUMMER
HALTESTELLEWLOGD.88,POINT (16.483289899787984 48.21718015100675),Asperner Heldenplatz,89
HALTESTELLEWLOGD.89,POINT (16.481589899285428 48.238020150414485),Frederick-Loewe-Weg,90
HALTESTELLEWLOGD.90,POINT (16.35444989957098 48.17888015059346),Matzleinsdf.Platz Autoreisezug,91
HALTESTELLEWLOGD.91,POINT (16.29786989904873 48.14316015005673),Atzgersdorf Friedhof,92
HALTESTELLEWLOGD.92,POINT (16.294259898993175 48.14762015067916),Atzgersdorf Kirchenplatz,93
HALTESTELLEWLOGD.93,POINT (16.28904989830354 48.14777015033857),Atzgersdorf,94
HALTESTELLEWLOGD.94,POINT (16.26408989895476 48.13895015073659),An der Liesing,95
HALTESTELLEWLOGD.95,POINT (16.296359898387372 48.170520150568656),Atzgersdorfer Straße,96
HALTESTELLEWLOGD.96,POINT (16.51809989906412 48.20314015035648),Auernheimergasse,98
HALTESTELLEWLOGD.97,POINT (16.35736989910331 48.229960150699085),Augasse,99
HALTESTELLEWLOGD.98,POINT (16.398429899022815 48.251940150609286),Broßmannplatz,100
HALTESTELLEWLOGD.99,POINT (16.336569898688662 48.22816015023238),Aumannplatz,101
HALTESTELLEWLOGD.100,POINT (16.387969898246837 48.27746015100985),Autokaderstraße,102
HALTESTELLEWLOGD.101,POINT (16.337709898997094 48.178720150170335),Aßmayergasse,103
HALTESTELLEWLOGD.102,POINT (16.35677989951526 48.18829015047255),Bacherplatz,104
HALTESTELLEWLOGD.103,POINT (16.486439899563162 48.27733015111499),Badeteich Süßenbrunn,105
HALTESTELLEWLOGD.104,POINT (16.224009898312787 48.20898015051305),Badgasse,106
HALTESTELLEWLOGD.105,POINT (16.261909898279043 48.201620150250776),Bahnhofstraße,107
HALTESTELLEWLOGD.106,POINT (16.517479899847455 48.20873015043046),Wiethestraße/Kirschenallee,108
HALTESTELLEWLOGD.107,POINT (16.355679899139005 48.24462015011656),Barawitzkagasse,109
HALTESTELLEWLOGD.108,POINT (16.39502989961848 48.198010150425155),Barichgasse,110
HALTESTELLEWLOGD.109,POINT (16.404089899475398 48.250440150471064),Morelligasse,111
HALTESTELLEWLOGD.110,POINT (16.360719899355118 48.22088015063172),Bauernfeldplatz,112
HALTESTELLEWLOGD.111,POINT (16.27704989853901 48.19681015017617),Linzer Straße/Hochsatzengasse,113
